,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper
0,0,0,"[0.0, 1.0]",80,0.5184099883717109,0.9686394462204555,41.47279906973687,77.49115569763644,0,0.9,200,False
1,1,0,"[0.0, 1.0]",80,0.5515672124084454,0.9980006534009569,44.12537699267563,79.84005227207655,0,0.9,200,False
2,2,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,0,0.9,200,False
3,3,0,"[0.0, 1.0]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,0,0.9,200,False
4,4,0,"[0.0, 1.0]",80,0.5184232730145055,0.9686394462204555,41.47386184116044,77.49115569763644,0,0.9,200,False
5,5,0,"[0.0, 1.0]",80,0.5435862748519765,0.9976115723732889,43.486901988158124,79.80892578986311,0,0.9,200,False
6,6,0,"[0.0, 1.0]",80,0.5515539441267115,0.9980006534009569,44.124315530136926,79.84005227207655,0,0.9,200,False
7,7,0,"[0.0, 1.0]",80,0.5543948532349432,0.9970588302784271,44.35158825879545,79.76470642227417,0,0.9,200,False
8,8,0,"[0.0, 1.0]",80,0.5487263033175362,0.9989424765234866,43.8981042654029,79.91539812187892,0,0.9,200,False
9,9,0,"[0.0, 1.0]",80,0.5629308487720819,0.9942333609108382,45.03446790176655,79.53866887286706,0,0.9,200,False
10,10,0,"[0.0, 1.0]",80,0.5568569744470644,0.9957382192771096,44.54855795576515,79.65905754216877,0,0.9,200,False
11,11,0,"[0.0, 1.0]",80,0.5544081214993545,0.9970588302784271,44.35264971994836,79.76470642227417,0,0.9,200,False
12,12,0,"[0.0, 1.0]",80,0.5515672124084454,0.9980006534009569,44.12537699267563,79.84005227207655,0,0.9,200,False
13,13,0,"[0.0, 1.0]",80,0.4549763033175349,0.908975208736924,36.39810426540279,72.71801669895392,0,0.9,200,False
14,14,0,"[0.0, 1.0]",80,0.5572357623258692,0.9961170071558975,44.57886098606954,79.6893605724718,0,0.9,200,False
15,15,0,"[0.0, 1.0]",80,0.5625387926288996,0.9938545730320504,45.00310341031197,79.50836584256403,0,0.9,200,False
16,16,0,"[0.0, 1.0]",80,0.5487263033175362,0.9989424765234866,43.8981042654029,79.91539812187892,0,0.9,200,False
17,17,0,"[0.0, 1.0]",80,0.5657717578629909,0.9932915377883086,45.261740629039274,79.46332302306469,0,0.9,200,False
18,18,0,"[0.0, 1.0]",80,0.5454875648119797,0.9995055117672283,43.63900518495837,79.96044094137827,0,0.9,200,False
19,19,0,"[0.0, 1.0]",80,0.5460422363362825,0.9962909613719713,43.6833789069026,79.7032769097577,0,0.9,200,False
20,0,1,"[0.034232370054879196, 0.9657676299451208]",80,0.48812024271147464,0.9383364159174246,39.04961941691797,75.06691327339396,0,0.9,200,False
21,1,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5500054384429136,0.9964855018858053,44.00043507543309,79.71884015086442,0,0.9,200,False
22,2,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5600766714167784,0.9951751840333678,44.80613371334228,79.61401472266942,0,0.9,200,False
23,3,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5894227002268264,0.9776946016527688,47.15381601814611,78.2155681322215,0,0.9,200,False
24,4,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,0,0.9,200,False
25,5,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5155823639235965,0.9695812693429853,41.246589113887715,77.56650154743882,0,0.9,200,False
26,6,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5543948532349432,0.9970588302784271,44.35158825879545,79.76470642227417,0,0.9,200,False
27,7,1,"[0.034232370054879196, 0.9657676299451208]",80,0.48810695806868,0.9383364159174246,39.0485566454944,75.06691327339396,0,0.9,200,False
28,8,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5544081214993545,0.9970588302784271,44.35264971994836,79.76470642227417,0,0.9,200,False
29,9,1,"[0.034232370054879196, 0.9657676299451208]",80,0.4549763033175349,0.908975208736924,36.39810426540279,72.71801669895392,0,0.9,200,False
30,10,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5184099883717109,0.9686394462204555,41.47279906973687,77.49115569763644,0,0.9,200,False
31,11,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5511609447417378,0.9976218655221689,44.09287557933903,79.80974924177352,0,0.9,200,False
32,12,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,0,0.9,200,False
33,13,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5208579144387071,0.9673188352191382,41.668633155096565,77.38550681753105,0,0.9,200,False
34,14,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5487263033175362,0.9989424765234866,43.8981042654029,79.91539812187892,0,0.9,200,False
35,15,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5451212570966673,0.9991267238884405,43.60970056773338,79.93013791107524,0,0.9,200,False
36,16,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,0,0.9,200,False
37,17,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5184099883717109,0.9686394462204555,41.47279906973687,77.49115569763644,0,0.9,200,False
38,18,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5600899396811727,0.9951751840333678,44.80719517449381,79.61401472266942,0,0.9,200,False
39,19,1,"[0.034232370054879196, 0.9657676299451208]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,0,0.9,200,False
40,0,2,"[0.06869901754167695, 0.931300982458323]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,0,0.9,200,False
41,1,2,"[0.06869901754167695, 0.931300982458323]",80,0.5515672124084454,0.9980006534009569,44.12537699267563,79.84005227207655,0,0.9,200,False
42,2,2,"[0.06869901754167695, 0.931300982458323]",80,0.5551382346143388,0.9902509416091256,44.4110587691471,79.22007532873005,0,0.9,200,False
43,3,2,"[0.06869901754167695, 0.931300982458323]",80,0.5176332730325084,0.9678818704628798,41.410661842600675,77.43054963703038,0,0.9,200,False
44,4,2,"[0.06869901754167695, 0.931300982458323]",80,0.5629308487720819,0.9942333609108382,45.03446790176655,79.53866887286706,0,0.9,200,False
45,5,2,"[0.06869901754167695, 0.931300982458323]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,0,0.9,200,False
46,6,2,"[0.06869901754167695, 0.931300982458323]",80,0.5572490305902635,0.9961170071558975,44.57992244722109,79.6893605724718,0,0.9,200,False
47,7,2,"[0.06869901754167695, 0.931300982458323]",80,0.5271288328542425,0.9622206385788218,42.170306628339404,76.97765108630574,0,0.9,200,False
48,8,2,"[0.06869901754167695, 0.931300982458323]",80,0.5155823639235965,0.9695812693429853,41.246589113887715,77.56650154743882,0,0.9,200,False
49,9,2,"[0.06869901754167695, 0.931300982458323]",80,0.5532300551741334,0.9959224666420635,44.25840441393067,79.67379733136508,0,0.9,200,False
50,10,2,"[0.06869901754167695, 0.931300982458323]",80,0.5629308487720819,0.9942333609108382,45.03446790176655,79.53866887286706,0,0.9,200,False
51,11,2,"[0.06869901754167695, 0.931300982458323]",80,0.5148182267936365,0.9688236935854094,41.18545814349092,77.50589548683276,0,0.9,200,False
52,12,2,"[0.06869901754167695, 0.931300982458323]",80,0.5500054384429136,0.9964855018858053,44.00043507543309,79.71884015086442,0,0.9,200,False
53,13,2,"[0.06869901754167695, 0.931300982458323]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,0,0.9,200,False
54,14,2,"[0.06869901754167695, 0.931300982458323]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,0,0.9,200,False
55,15,2,"[0.06869901754167695, 0.931300982458323]",80,0.5657717578629909,0.9932915377883086,45.261740629039274,79.46332302306469,0,0.9,200,False
56,16,2,"[0.06869901754167695, 0.931300982458323]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,0,0.9,200,False
57,17,2,"[0.06869901754167695, 0.931300982458323]",80,0.5487130186747416,0.9989424765234866,43.89704149397933,79.91539812187892,0,0.9,200,False
58,18,2,"[0.06869901754167695, 0.931300982458323]",80,0.5479363033355392,0.9981849007659107,43.83490426684314,79.85479206127286,0,0.9,200,False
59,19,2,"[0.06869901754167695, 0.931300982458323]",80,0.5458853942266272,0.9998842996460162,43.67083153813017,79.9907439716813,0,0.9,200,False
60,0,3,"[0.10323255656275493, 0.8967674434372451]",80,0.4852793336205655,0.9392782390399542,38.822346689645244,75.14225912319634,0,0.9,200,False
61,1,3,"[0.10323255656275493, 0.8967674434372451]",80,0.5222045904300001,0.964861860581457,41.77636723440001,77.18894884651655,0,0.9,200,False
62,2,3,"[0.10323255656275493, 0.8967674434372451]",80,0.515184534508949,0.9692024814641973,41.214762760715914,77.53619851713579,0,0.9,200,False
63,3,3,"[0.10323255656275493, 0.8967674434372451]",80,0.5451212570966673,0.9991267238884405,43.60970056773338,79.93013791107524,0,0.9,200,False
64,4,3,"[0.10323255656275493, 0.8967674434372451]",80,0.5714535760448091,0.9914078915432493,45.71628608358473,79.31263132345994,0,0.9,200,False
