,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes,use_double_q_learning
0,0,0,"[0.0, 1.0]",80,0.08834675823801294,0.9963595083829413,7.067740659041035,79.7087606706353,0,0.9,1000,False,True,"[128, 128]",True
1,1,0,"[0.0, 1.0]",80,0.0868465460290075,0.9948443568677897,6.9477236823206,79.58754854942318,0,0.9,1000,False,True,"[128, 128]",True
2,2,0,"[0.0, 1.0]",80,0.08722525472134963,0.98534342831862,6.978020377707971,78.8274742654896,0,0.9,1000,False,True,"[128, 128]",True
3,3,0,"[0.0, 1.0]",80,0.08911730933121867,0.997117084140517,7.129384746497493,79.76936673124136,0,0.9,1000,False,True,"[128, 128]",True
4,4,0,"[0.0, 1.0]",80,0.09745260663507115,0.9978849530469729,7.796208530805692,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
5,5,0,"[0.0, 1.0]",80,0.10310788825342172,0.9960013068019137,8.248631060273738,79.6801045441531,0,0.9,1000,False,True,"[128, 128]",True
6,6,0,"[0.0, 1.0]",80,0.08719876462085774,0.9876576803197002,6.975901169668619,79.01261442557602,0,0.9,1000,False,True,"[128, 128]",True
7,7,0,"[0.0, 1.0]",80,0.08870043896081181,0.9967382962617292,7.096035116864945,79.73906370093833,0,0.9,1000,False,True,"[128, 128]",True
8,8,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
9,9,0,"[0.0, 1.0]",80,0.08267987936234392,0.9906776902011231,6.614390348987514,79.25421521608985,0,0.9,1000,False,True,"[128, 128]",True
10,10,0,"[0.0, 1.0]",80,0.0894452769766791,0.9974958720193049,7.155622158134328,79.7996697615444,0,0.9,1000,False,True,"[128, 128]",True
11,11,0,"[0.0, 1.0]",80,0.08911730933121867,0.997117084140517,7.129384746497493,79.76936673124136,0,0.9,1000,False,True,"[128, 128]",True
12,12,0,"[0.0, 1.0]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,0,0.9,1000,False,True,"[128, 128]",True
13,13,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
14,14,0,"[0.0, 1.0]",80,0.08836143848246059,0.9963595083829413,7.068915078596847,79.7087606706353,0,0.9,1000,False,True,"[128, 128]",True
15,15,0,"[0.0, 1.0]",80,0.09742603734948187,0.9978849530469729,7.794082987958549,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
16,16,0,"[0.0, 1.0]",80,0.08983851077694885,0.9978746598980928,7.187080862155908,79.82997279184742,0,0.9,1000,False,True,"[128, 128]",True
17,17,0,"[0.0, 1.0]",80,0.08722336616051199,0.9952231447465776,6.977869292840959,79.6178515797262,0,0.9,1000,False,True,"[128, 128]",True
18,18,0,"[0.0, 1.0]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,0,0.9,1000,False,True,"[128, 128]",True
19,19,0,"[0.0, 1.0]",80,0.0894452769766791,0.9974958720193049,7.155622158134328,79.7996697615444,0,0.9,1000,False,True,"[128, 128]",True
20,0,1,"[0.034172909131201905, 0.9658270908687981]",80,0.08834675823801294,0.9963595083829413,7.067740659041035,79.7087606706353,0,0.9,1000,False,True,"[128, 128]",True
21,1,1,"[0.034172909131201905, 0.9658270908687981]",80,0.08949805669474965,0.9974958720193049,7.159844535579972,79.7996697615444,0,0.9,1000,False,True,"[128, 128]",True
22,2,1,"[0.034172909131201905, 0.9658270908687981]",80,0.09745260663507115,0.9978849530469729,7.796208530805692,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
23,3,1,"[0.034172909131201905, 0.9658270908687981]",80,0.10313442481688931,0.9960013068019137,8.250753985351144,79.6801045441531,0,0.9,1000,False,True,"[128, 128]",True
24,4,1,"[0.034172909131201905, 0.9658270908687981]",80,0.07582361447244287,0.9838595083829411,6.06588915779543,78.70876067063529,0,0.9,1000,False,True,"[128, 128]",True
25,5,1,"[0.034172909131201905, 0.9658270908687981]",80,0.1027006773622621,0.9956225189231258,8.216054188980968,79.64980151385006,0,0.9,1000,False,True,"[128, 128]",True
26,6,1,"[0.034172909131201905, 0.9658270908687981]",80,0.10313442481688931,0.9960013068019137,8.250753985351144,79.6801045441531,0,0.9,1000,False,True,"[128, 128]",True
27,7,1,"[0.034172909131201905, 0.9658270908687981]",80,0.06714957633204094,0.9751473871708198,5.371966106563275,78.01179097366558,0,0.9,1000,False,True,"[128, 128]",True
28,8,1,"[0.034172909131201905, 0.9658270908687981]",80,0.09473598782407869,0.9952334378954578,7.5788790259262955,79.61867503163663,0,0.9,1000,False,True,"[128, 128]",True
29,9,1,"[0.034172909131201905, 0.9658270908687981]",80,0.09745260663507115,0.9978849530469729,7.796208530805692,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
30,10,1,"[0.034172909131201905, 0.9658270908687981]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
31,11,1,"[0.034172909131201905, 0.9658270908687981]",80,0.0894452769766791,0.9974958720193049,7.155622158134328,79.7996697615444,0,0.9,1000,False,True,"[128, 128]",True
32,12,1,"[0.034172909131201905, 0.9658270908687981]",80,0.09742603734948187,0.9978849530469729,7.794082987958549,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
33,13,1,"[0.034172909131201905, 0.9658270908687981]",80,0.03681997674342153,0.9372788924409111,2.9455981394737223,74.98231139527289,0,0.9,1000,False,True,"[128, 128]",True
34,14,1,"[0.034172909131201905, 0.9658270908687981]",80,0.09742603734948187,0.9978849530469729,7.794082987958549,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
35,15,1,"[0.034172909131201905, 0.9658270908687981]",80,0.08188422053302549,0.9899201144435473,6.55073764264204,79.19360915548378,0,0.9,1000,False,True,"[128, 128]",True
36,16,1,"[0.034172909131201905, 0.9658270908687981]",80,0.09553184274292373,0.9959910136530337,7.642547419433898,79.67928109224269,0,0.9,1000,False,True,"[128, 128]",True
37,17,1,"[0.034172909131201905, 0.9658270908687981]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,0,0.9,1000,False,True,"[128, 128]",True
38,18,1,"[0.034172909131201905, 0.9658270908687981]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
39,19,1,"[0.034172909131201905, 0.9658270908687981]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]",True
40,0,2,"[0.06860354453632331, 0.9313964554636767]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
41,1,2,"[0.06860354453632331, 0.9313964554636767]",80,0.05083512825857296,0.951294043956063,4.066810260685837,76.10352351648504,0,0.9,1000,False,True,"[128, 128]",True
42,2,2,"[0.06860354453632331, 0.9313964554636767]",80,0.09745260663507115,0.9978849530469729,7.796208530805692,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
43,3,2,"[0.06860354453632331, 0.9313964554636767]",80,0.08381623850488673,0.9918140538374868,6.7052990803909385,79.34512430699894,0,0.9,1000,False,True,"[128, 128]",True
44,4,2,"[0.06860354453632331, 0.9313964554636767]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
45,5,2,"[0.06860354453632331, 0.9313964554636767]",80,0.09745260663507115,0.9978849530469729,7.796208530805692,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
46,6,2,"[0.06860354453632331, 0.9313964554636767]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
47,7,2,"[0.06860354453632331, 0.9313964554636767]",80,0.09745260663507115,0.9978849530469729,7.796208530805692,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
48,8,2,"[0.06860354453632331, 0.9313964554636767]",80,0.08908118574424255,0.997117084140517,7.126494859539404,79.76936673124136,0,0.9,1000,False,True,"[128, 128]",True
49,9,2,"[0.06860354453632331, 0.9313964554636767]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
50,10,2,"[0.06860354453632331, 0.9313964554636767]",80,0.10313442481688931,0.9960013068019137,8.250753985351144,79.6801045441531,0,0.9,1000,False,True,"[128, 128]",True
51,11,2,"[0.06860354453632331, 0.9313964554636767]",80,0.09025538172548343,0.9982534477768807,7.220430538038674,79.86027582215046,0,0.9,1000,False,True,"[128, 128]",True
52,12,2,"[0.06860354453632331, 0.9313964554636767]",80,0.03681997674342153,0.9372788924409111,2.9455981394737223,74.98231139527289,0,0.9,1000,False,True,"[128, 128]",True
53,13,2,"[0.06860354453632331, 0.9313964554636767]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]",True
54,14,2,"[0.06860354453632331, 0.9313964554636767]",80,0.06866472784719245,0.9766625386859713,5.493178227775396,78.13300309487771,0,0.9,1000,False,True,"[128, 128]",True
55,15,2,"[0.06860354453632331, 0.9313964554636767]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
56,16,2,"[0.06860354453632331, 0.9313964554636767]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
57,17,2,"[0.06860354453632331, 0.9313964554636767]",80,0.04971221116303023,0.957723144746577,3.9769768930424183,76.61785157972616,0,0.9,1000,False,True,"[128, 128]",True
58,18,2,"[0.06860354453632331, 0.9313964554636767]",80,0.0769849384357574,0.9849958720193049,6.158795074860592,78.7996697615444,0,0.9,1000,False,True,"[128, 128]",True
59,19,2,"[0.06860354453632331, 0.9313964554636767]",80,0.08154351572597722,0.9895413265647595,6.523481258078178,79.16330612518075,0,0.9,1000,False,True,"[128, 128]",True
60,0,3,"[0.10305996053645697, 0.8969400394635431]",80,0.08419503087749541,0.9921928417162746,6.735602470199633,79.37542733730197,0,0.9,1000,False,True,"[128, 128]",True
61,1,3,"[0.10305996053645697, 0.8969400394635431]",80,0.05275563693810163,0.96075344777688,4.220450955048131,76.8602758221504,0,0.9,1000,False,True,"[128, 128]",True
62,2,3,"[0.10305996053645697, 0.8969400394635431]",80,0.08532953874213009,0.9933292053526384,6.826363099370408,79.46633642821106,0,0.9,1000,False,True,"[128, 128]",True
63,3,3,"[0.10305996053645697, 0.8969400394635431]",80,0.09139014480273651,0.9918243469863668,7.3112115842189205,79.34594775890935,0,0.9,1000,False,True,"[128, 128]",True
64,4,3,"[0.10305996053645697, 0.8969400394635431]",80,0.08798290966402281,0.9959807205041533,7.038632773121825,79.67845764033227,0,0.9,1000,False,True,"[128, 128]",True
65,5,3,"[0.10305996053645697, 0.8969400394635431]",80,0.09100008995090889,0.9990110235344565,7.28000719607271,79.92088188275652,0,0.9,1000,False,True,"[128, 128]",True
66,6,3,"[0.10305996053645697, 0.8969400394635431]",80,0.0860755928701599,0.9940867811102139,6.886047429612791,79.52694248881711,0,0.9,1000,False,True,"[128, 128]",True
67,7,3,"[0.10305996053645697, 0.8969400394635431]",80,0.09553184274292373,0.9959910136530337,7.642547419433898,79.67928109224269,0,0.9,1000,False,True,"[128, 128]",True
68,8,3,"[0.10305996053645697, 0.8969400394635431]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
69,9,3,"[0.10305996053645697, 0.8969400394635431]",80,0.08836169753390008,0.9963595083829413,7.068935802712007,79.7087606706353,0,0.9,1000,False,True,"[128, 128]",True
70,10,3,"[0.10305996053645697, 0.8969400394635431]",80,0.08077256257739154,0.9887837508071836,6.461805006191324,79.10270006457469,0,0.9,1000,False,True,"[128, 128]",True
71,11,3,"[0.10305996053645697, 0.8969400394635431]",80,0.09742603734948187,0.9978849530469729,7.794082987958549,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
72,12,3,"[0.10305996053645697, 0.8969400394635431]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
73,13,3,"[0.10305996053645697, 0.8969400394635431]",80,0.09100008995090889,0.9990110235344565,7.28000719607271,79.92088188275652,0,0.9,1000,False,True,"[128, 128]",True
74,14,3,"[0.10305996053645697, 0.8969400394635431]",80,0.0686516051024241,0.9766625386859713,5.492128408193928,78.13300309487771,0,0.9,1000,False,True,"[128, 128]",True
75,15,3,"[0.10305996053645697, 0.8969400394635431]",80,0.09742603734948187,0.9978849530469729,7.794082987958549,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
76,16,3,"[0.10305996053645697, 0.8969400394635431]",80,0.08721221116167871,0.9952231447465776,6.976976892934297,79.6178515797262,0,0.9,1000,False,True,"[128, 128]",True
77,17,3,"[0.10305996053645697, 0.8969400394635431]",80,0.09021569753386478,0.9982534477768807,7.217255802709182,79.86027582215046,0,0.9,1000,False,True,"[128, 128]",True
78,18,3,"[0.10305996053645697, 0.8969400394635431]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,0,0.9,1000,False,True,"[128, 128]",True
79,19,3,"[0.10305996053645697, 0.8969400394635431]",80,0.08608711449968283,0.9940867811102141,6.886969159974626,79.52694248881713,0,0.9,1000,False,True,"[128, 128]",True
80,0,4,"[0.13756541393143434, 0.8624345860685656]",80,0.08684654153534435,0.9948443568677897,6.947723322827548,79.58754854942318,0,0.9,1000,False,True,"[128, 128]",True
81,1,4,"[0.13756541393143434, 0.8624345860685656]",80,0.08305866724095386,0.9910564780799109,6.644693379276308,79.28451824639288,0,0.9,1000,False,True,"[128, 128]",True
82,2,4,"[0.13756541393143434, 0.8624345860685656]",80,0.09550759241460852,0.9959910136530337,7.640607393168681,79.67928109224269,0,0.9,1000,False,True,"[128, 128]",True
83,3,4,"[0.13756541393143434, 0.8624345860685656]",80,0.1027006773622621,0.9956225189231258,8.216054188980968,79.64980151385006,0,0.9,1000,False,True,"[128, 128]",True
84,4,4,"[0.13756541393143434, 0.8624345860685656]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]",True
85,5,4,"[0.13756541393143434, 0.8624345860685656]",80,0.09665694780577613,0.9971273772893972,7.732555824462091,79.77019018315177,0,0.9,1000,False,True,"[128, 128]",True
86,6,4,"[0.13756541393143434, 0.8624345860685656]",80,0.08040715207935431,0.9884049629283957,6.432572166348344,79.07239703427166,0,0.9,1000,False,True,"[128, 128]",True
87,7,4,"[0.13756541393143434, 0.8624345860685656]",80,0.1087897064698848,0.9941176605568544,8.703176517590784,79.52941284454835,0,0.9,1000,False,True,"[128, 128]",True
88,8,4,"[0.13756541393143434, 0.8624345860685656]",80,0.09742603734948187,0.9978849530469729,7.794082987958549,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
89,9,4,"[0.13756541393143434, 0.8624345860685656]",80,0.08870043896081181,0.9967382962617292,7.096035116864945,79.73906370093833,0,0.9,1000,False,True,"[128, 128]",True
90,10,4,"[0.13756541393143434, 0.8624345860685656]",80,0.09745260663507115,0.9978849530469729,7.796208530805692,79.83079624375783,0,0.9,1000,False,True,"[128, 128]",True
91,11,4,"[0.13756541393143434, 0.8624345860685656]",80,0.1027006773622621,0.9956225189231258,8.216054188980968,79.64980151385006,0,0.9,1000,False,True,"[128, 128]",True
